TITLE     = "Mean intensity (movmin, real coordinates)"
VARIABLES = "x [mm]"
"y [mm]"
"z [mm]"
"C*"
DATASETAUXDATA FileID="DSExport.Tecplot"
DATASETAUXDATA GridSize="{Width=60, Height=55}"
DATASETAUXDATA Version="2"
ZONE T="West_ym142_mov_quantile_q001_win100_cut0"
 STRANDID=0, SOLUTIONTIME=0
 I=146, J=116, K=1, ZONETYPE=Ordered
 DATAPACKING=BLOCK
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -4.229999924E+01 -4.172930908E+01 -4.115862274E+01 -4.058793259E+01 -4.001724243E+01
 -3.944655228E+01 -3.887586212E+01 -3.830517197E+01 -3.773448181E+01 -3.716379166E+01
 -3.659310150E+01 -3.602241516E+01 -3.545172501E+01 -3.488103485E+01 -3.431034470E+01
 -3.373965454E+01 -3.316896439E+01 -3.259827423E+01 -3.202758789E+01 -3.145689774E+01
 -3.088620758E+01 -3.031551743E+01 -2.974482727E+01 -2.917413712E+01 -2.860344887E+01
 -2.803275871E+01 -2.746206856E+01 -2.689137840E+01 -2.632069016E+01 -2.575000000E+01
 -2.517930984E+01 -2.460862160E+01 -2.403793144E+01 -2.346724129E+01 -2.289655113E+01
 -2.232586288E+01 -2.175517273E+01 -2.118448257E+01 -2.061379242E+01 -2.004310226E+01
 -1.947241402E+01 -1.890172386E+01 -1.833103371E+01 -1.776034546E+01 -1.718965530E+01
 -1.661896515E+01 -1.604827690E+01 -1.547758579E+01 -1.490689659E+01 -1.433620739E+01
 -1.376551723E+01 -1.319482803E+01 -1.262413788E+01 -1.205344772E+01 -1.148275948E+01
 -1.091206932E+01 -1.034137917E+01 -9.770689964E+00 -9.199999809E+00 -8.629309654E+00
 -8.058621407E+00 -7.487930775E+00 -6.917241096E+00 -6.346551895E+00 -5.775862217E+00
 -5.205172062E+00 -4.634482861E+00 -4.063793182E+00 -3.493103027E+00 -2.922414064E+00
